Final Event Number	Date & Time Reported	Date and Time Occurred	Log Type	Location	Status	Remarks	AreaName
2016-0011712	9/2/2016  7:30:48 PM	9/2/2016  7:30:00PM	SUSPICIOUS ACTIVITY	GRAYS HALL MIDDLE 7 HARVARD YARD	CLOSED	"Officers dispatched to a report of two residents on the fire escape. Officers arrived, located individuals and advised them to go back inside."	Yard Team
2016-0011758	9/3/2016  11:15:07 PM	9/3/2016 11:15:00PM	SUSPICIOUS ACTIVITY	RADCLIFFE CAMPUS DRIVE 45 SHEPARD ST	CLOSED	Officers dispatched to a report of an individuals passing around a bottle of alcohol while waiting for the shuttle bus. Officers arrived and report individuals gone on arrival.	Radcliffe/Quad Team
2016-0011785	9/4/2016  3:12:41 PM	9/4/2016  3:12:00PM	SUSPICIOUS ACTIVITY	DOMINOS 1033 MASSACHUSETTS AVE	CLOSED	See case 2016-2553	Yard Team
2016-0011798	9/4/2016  10:15:31 PM	9/4/2016 10:15:00PM	SUSPICIOUS ACTIVITY	MATTHEWS HALL NORTH 9 HARVARD YARD	CLOSED	Officer dispatched to a report of a group fighting in the area. Officer arrived and report individuals gone on arrival.	Yard Team
2016-0011819	9/5/2016  12:00:00 PM	9/5/2016 11:55:00AM To 12:00:00PM	SUSPICIOUS ACTIVITY	LANGDELL HALL 1545 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of past suspicious activity.	North Yard Team
2016-0011878	9/7/2016  12:25:52 AM	9/7/2016 12:25:00AM	SUSPICIOUS ACTIVITY	STRAUS HALL D 10 HARVARD YARD	CLOSED	Report from individual that they though someone was attempting to open their window. Reporting individual called back and stated it was just an individual trying to play with their dog. Call cancelled.	Yard Team
2016-0011924	9/8/2016  12:26:57 AM	9/8/2016 12:26:00AM	SUSPICIOUS ACTIVITY	 173 PLEASANT ST	CLOSED	"Officers dispatched to a report of an individual in the area with a shopping cart looking into several windows. Officers arrived, located individual and sent them on their way."	River Team
2016-0011931	9/8/2016  3:05:08 AM	9/8/2016  3:05:00AM	SUSPICIOUS ACTIVITY	STORY HALL 12 EVERETT ST	CLOSED	"Officers dispatched to a report of two individuals using the call boxes and trying to climb above the door to gain entry into the building. Officers arrived, located individuals and report individuals were contractors who got locked out of the garage area. The individuals were given access to the area."	North Yard Team
2016-0011939	9/8/2016  9:01:15 AM	9/8/2016  9:01:00AM	SUSPICIOUS ACTIVITY	EVERETT STREET GARAGE 27 EVERETT ST	CLOSED	Officer dispatched to a report of an individual in the area using a blow torch. Officer arrived and report individual gone on arrival.	North Yard Team
2016-0011951	9/8/2016  2:03:13 PM	9/8/2016  2:03:00PM	SUSPICIOUS ACTIVITY	WINTHROP HOUSE 22 PRESCOTT ST	CLOSED	Officers dispatched to a report of two individuals screaming in the area. Officers arrived and report negative results.	Yard Team
2016-0011953	9/8/2016  3:12:30 PM	9/8/2016  3:12:00PM	SUSPICIOUS ACTIVITY	LANGDELL HALL 1545 MASSACHUSETTS AVE	CLOSED	Officers dispatched to a report of an individual screaming in the hallway area. Officers arrived and report individual gone on arrival.	North Yard Team
2016-0011957	9/8/2016  4:20:26 PM	9/8/2016  4:20:00PM	SUSPICIOUS ACTIVITY	WIGGLESWORTH HALL A 6 HARVARD YARD	CLOSED	"Officers dispatched to a report of an individual who had climbed through a window in the basement level of the building. Officers arrived, located individual and determined the individual lived in the residence and had forgot their key. A university official was on scene and spoke to the individual."	Yard Team
2016-0011999	9/9/2016  3:44:35 PM	9/9/2016  3:44:00PM	SUSPICIOUS ACTIVITY	LAW SCHOOL QUAD 14 EVERETT ST	CLOSED	Officers dispatched to a report of students drinking in the quad area. Officers arrived and report university official on scene talking with students.	North Yard Team
2016-0012031	9/10/2016  3:00:39 AM	9/10/2016  3:00:00AM	SUSPICIOUS ACTIVITY	SOCCER FIELD 79 N HARVARD ST	CLOSED	Officers dispatched to a report of a suspicious motor vehicle in the area. Officers arrived and report motor vehicle has been moved.	Allston/Watertown Team
2016-0012046	9/10/2016  4:32:31 PM	9/10/2016  4:32:00PM	SUSPICIOUS ACTIVITY	CONANT HALL 36 OXFORD ST	CLOSED	Officers dispatched to a report of three individuals wandering around the bicycle rack. Officers arrived and report individuals gone on arrival.	North Yard Team
2016-0012084	9/11/2016  11:02:28 AM	9/11/2016 11:02:00AM	SUSPICIOUS ACTIVITY	 20 DEWOLFE ST	CLOSED	Officers dispatched to a report of an individual who had piggybacked their way into the building. Officers arrived and report individual gone on arrival.	River Team
2016-0012121	9/12/2016  1:41:43 PM	9/12/2016  1:41:00PM	SUSPICIOUS ACTIVITY	WORLD RELIGION CENTER 45 FRANCIS AVE	CLOSED	Officer dispatched to a report of a protestor in the area. Officer arrived and report no protestor just an individual handing out pamphlets not on Harvard property.	North Yard Team
2016-0012152	9/13/2016  9:02:53 AM	9/13/2016  9:02:00AM	SUSPICIOUS ACTIVITY	POUND BUILDING 1563 MASSACHUSETTS AVE	CLOSED	Officer dispatched to a report of an individual flying a drone in the area. Officer arrived and report individual gone on arrival.	North Yard Team
2016-0012153	9/13/2016  9:21:42 AM	9/13/2016  9:21:00AM	SUSPICIOUS ACTIVITY	SPANGLER CENTER 117 WESTERN AVE	CLOSED	"Officer dispatched to a report of an individual in the area who not have authorization to be there. Officer arrived, located individual and report individual was scheduled to have a meeting in the building and was allowed to stay."	Allston/Watertown Team
2016-0012162	9/13/2016  12:11:20 PM	9/13/2016 12:11:00PM	SUSPICIOUS ACTIVITY	PEABODY TERRACE DAY CARE CTR 900 MEMORIAL DR	CLOSED	Officers dispatched to a report of two individuals possibly going through packages. Officers arrived and report individuals gone on arrival.	River Team
2016-0012165	9/13/2016  12:49:00 PM	9/13/2016 11:00:00AM To 11:30:00AM	SUSPICIOUS ACTIVITY	LITTAUER CENTER LOT 1805 CAMBRIDGE ST	CLOSED	Officer dispatched to take a report of past suspicious activity.	North Yard Team
2016-0012207	9/14/2016  3:35:46 PM	9/14/2016  3:35:00PM	SUSPICIOUS ACTIVITY	QUADRANGLE RECREATIONAL 60 GARDEN ST	CLOSED	"Officer dispatched to a report of two individuals playing tennis in the area who may not have authorization to be there. Officer arrived, located individuals and sent them on their way."	Radcliffe/Quad Team
2016-0012208	9/14/2016  3:36:05 PM	9/14/2016  3:36:00PM	SUSPICIOUS ACTIVITY	JOHNSTON GATE 47 HARVARD YARD	CLOSED	Officer dispatched to a report of an individual in the area taking pictures. Officer arrived and report individual gone on arrival.	Yard Team
2016-0012238	9/15/2016  2:12:00 PM	9/15/2016  1:00:00PM To  1:30:00PM	SUSPICIOUS ACTIVITY	UNIVERSITY HALL 1 HARVARD YARD	CLOSED	Officer dispatched to take a report of a suspicious letter an individual received.	Yard Team
2016-0012240	9/15/2016  2:40:00 PM	9/15/2016 12:00:00PM To  3:00:00PM	SUSPICIOUS ACTIVITY	BOYLSTON HALL 5 HARVARD YARD	CLOSED	Officer dispatched to take a report of suspicious messages on a website.	Yard Team
2016-0012269	9/16/2016  8:00:00 AM	9/16/2016  7:55:00AM To  8:30:00AM	SUSPICIOUS ACTIVITY	 8 STORY ST	CLOSED	"Officer dispatched to a report of a hypodermic needle in the area. Officer arrived, took possession of the needle and disposed of it properly."	Radcliffe/Quad Team
2016-0012299	9/16/2016  7:00:59 PM	9/16/2016  7:00:00PM	SUSPICIOUS ACTIVITY	UNIVERSITY LIBRARY 90 MT AUBURN ST	CLOSED	Officers dispatched to a report of two individuals fighting. Officers arrived and report individuals gone on arrival.	River Team
2016-0012360	9/18/2016  2:37:27 AM	9/18/2016  2:37:00AM	SUSPICIOUS ACTIVITY	HARVARD YARD 1 PEABODY ST	CLOSED	Officers dispatched to a report of two individuals arguing. Officers arrived and report individuals gone on arrival.	Yard Team
2016-0012388	9/18/2016  8:57:49 PM	9/18/2016  8:57:00PM	SUSPICIOUS ACTIVITY	CRONKHITE GRADUATE CENTER 84 BRATTLE ST	CLOSED	"Officers dispatched to a report of two individuals possibly in some sort of argument. Officers arrived, located both individuals and report it was all a misunderstanding."	Radcliffe/Quad Team
2016-0012390	9/18/2016  10:02:48 PM	9/18/2016 10:02:00PM	SUSPICIOUS ACTIVITY	SFP SOLDIERS FIELD PARK 06 111 WESTERN AVE	CLOSED	Officer dispatched to a report of packages that were possibly tampered with. Officer arrived and report no packages were not tampered with.	Allston/Watertown Team
2016-0012402	9/19/2016  8:45:01 AM	9/19/2016  8:45:00AM	SUSPICIOUS ACTIVITY	PEABODY TERRACE GARAGE 125 PUTNAM AVE	CLOSED	Officers dispatched to a report of a motor vehicle with their doors left open. Officer arrived and report owner of vehicle was notified and stated they may have left their doors open by accident.	River Team
2016-0012442	9/19/2016  11:48:03 PM	9/19/2016 11:48:00PM	SUSPICIOUS ACTIVITY	THAYER HALL NORTH 21 HARVARD YARD	CLOSED	Officers dispatched to a report of four individuals trying to gain access into the building who don't seem to have authorization to do so. Officers arrived and report individuals gone on arrival.	Yard Team
2016-0012453	9/20/2016  11:25:58 AM	9/20/2016 11:25:00AM	SUSPICIOUS ACTIVITY	THAYER HALL SOUTH 21 HARVARD YARD	CLOSED	Officers dispatched to a report of an individual entering the building who may not have authorization to do so. Officers arrived and report individual gone on arrival.	Yard Team
2016-0012463	9/20/2016  3:57:00 PM	9/20/2016  3:55:00PM	SUSPICIOUS ACTIVITY	PEABODY TERRACE DAY CARE CENTE 900 MEMORIAL DR	CLOSED	Officer dispatched to a report of three individuals pulling on bicycles that were on the bike rack. Officer arrived and report individuals gone on arrival.	River Team
2016-0012477	9/20/2016  8:08:30 PM	9/20/2016  8:08:00PM	SUSPICIOUS ACTIVITY	PEABODY TERRACE 02 900 MEMORIAL DR	CLOSED	"Officers dispatched to a report of an individual who had entered the building by ringing every buzzer until they were let in. It was also reported that the individual possibly took a package and left the area. Officers arrived and report individual gone on arrival. At this time, there have been no reported thefts."	River Team
2016-0012478	9/20/2016  8:51:16 PM	9/20/2016  8:51:00PM	SUSPICIOUS ACTIVITY	LYMAN LAB 11 OXFORD ST	CLOSED	"Officers dispatched to a report of an individual on a motor cycle looking into several windows of the building. Officers arrived, located individual and report individual was just waiting to pick someone up."	North Yard Team
2016-0012491	9/21/2016  4:49:01 AM	9/21/2016  4:49:00AM	SUSPICIOUS ACTIVITY	WASSERSTEIN HALL 1585 MASSACHUSETTS AVE	CLOSED	"Officer dispatched to a report of an individual sleeping in the lobby area. Officer arrived, located individual and report individual was a student who fell asleep while studying."	North Yard Team
2016-0012495	9/21/2016  8:06:00 AM	9/16/2016 To 9/20/2016 8:00:00AM To  3:00:00PM	SUSPICIOUS ACTIVITY	OEB OFFICES 26 OXFORD ST	CLOSED	Officer dispatched to take a report of three suspicious letters two individuals received.	North Yard Team
2016-0012502	9/21/2016  10:33:29 AM	9/21/2016 10:33:00AM	SUSPICIOUS ACTIVITY	SFP SOLDIERS FIELD PARK 01 111 WESTERN AVE	CLOSED	Officers dispatched to a report of two individuals on the roof of the building. Officers arrived and report individuals were authorized to be working on the roof.	Allston/Watertown Team
2016-0012506	9/21/2016  11:36:52 AM	9/21/2016 11:36:00AM	SUSPICIOUS ACTIVITY	 22 DIVINITY AVE	CLOSED	Officer dispatched to a report of a suspicious black bag in the area. Officer arrived and report bag was full of grass.	North Yard Team
2016-0012529	9/21/2016  10:23:41 PM	9/21/2016 10:23:00PM	SUSPICIOUS ACTIVITY	BIOLOGY LAB 16 DIVINITY AVE	CLOSED	Officer dispatched to a report of an individual wandering around the area. Officer arrived and report individual gone on arrival.	North Yard Team
2016-0012556	9/22/2016  1:48:00 PM	9/20/2016  6:19:00PM To  6:20:00PM	SUSPICIOUS ACTIVITY	CARPENTER CENTER 24 QUINCY ST	CLOSED	Officer dispatched to take a report of a suspicious email an individual received.	Yard Team
2016-0012595	9/23/2016  2:18:00 PM	9/23/2016  4:45:00AM To  5:00:00AM	SUSPICIOUS ACTIVITY	MOWER HALL B 16 HARVARD YARD	CLOSED	Officer dispatched to take a report of past suspicious activity.	Yard Team
2016-0012606	9/23/2016  8:34:13 PM	9/23/2016  8:34:00PM	SUSPICIOUS ACTIVITY	HASTINGS HALL 1533 MASSACHUSETTS AVE	CLOSED	"Officers dispatched to a report of an individual who was approached by an unknown individual asking them where they could buy a ""joint"". Officers arrived and report individual gone on arrival."	North Yard Team
2016-0012652	9/24/2016  7:43:05 PM	9/24/2016  7:43:00PM	SUSPICIOUS ACTIVITY	GUND HALL 48 QUINCY ST	CLOSED	Officers dispatched to a report of an individual wandering around the bike rack. Officers arrived and report individual gone on arrival.	North Yard Team
2016-0012654	9/24/2016  8:09:12 PM	9/24/2016  8:09:00PM	SUSPICIOUS ACTIVITY	WINTHROP HOUSE 8 PLYMPTON ST	CLOSED	Officers dispatched to a report of a group of students throwing cans into the alley. Officers arrived and advised group not to throw anything off the balcony area.	River Team
2016-0012697	9/25/2016  12:42:00 PM	9/19/2016 To 9/25/2016 8:00:00AM To  1:00:00PM	SUSPICIOUS ACTIVITY	HOLWORTHY HALL MIDDLE 19 HARVARD YARD	CLOSED	Officer dispatched to take a report of past suspicious activity.	Yard Team
2016-0012740	9/26/2016  5:34:42 PM	9/26/2016  5:34:00PM	SUSPICIOUS ACTIVITY	SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE	CLOSED	Officers dispatched to a report of three individuals taking pictures of the construction site area. Officers arrived and report individuals gone on arrival.	River Team
2016-0012764	9/27/2016  10:59:00 AM	9/27/2016  8:00:00AM To 11:01:00AM	SUSPICIOUS ACTIVITY	PEABODY TERRACE 24 900 MEMORIAL DR	CLOSED	Officer dispatched to take a report of suspicious activity.	River Team
2016-0012765	9/27/2016  11:07:00 AM	9/26/2016  6:15:00PM To  7:00:00PM	SUSPICIOUS ACTIVITY	LEVERETT HOUSE DINING HALL 8 MILL ST	CLOSED	Officer dispatched to take a report of suspicious activity.	River Team
2016-0012777	9/27/2016  3:14:56 PM	9/27/2016  3:14:00PM	SUSPICIOUS ACTIVITY	HAMILTON HALL 700 SOLDIERS FIELD RD	CLOSED	Officer dispatched to a report of an individual being followed by an unknown individual. Officer arrived and report individual gone on arrival.	Allston/Watertown Team
2016-0012856	9/29/2016  6:41:39 PM	9/29/2016  6:41:00PM	SUSPICIOUS ACTIVITY	GORDON HALL 25 SHATTUCK ST	CLOSED	Officers dispatched to a report of an individual walking around the building who didn't seem to have authorization to be in the area. Officers arrived and report individual gone on arrival.	Longwood Team
2016-0012867	9/29/2016  11:09:36 PM	9/29/2016 11:09:00PM	SUSPICIOUS ACTIVITY	LEVERETT HOUSE DINING HALL 8 MILL ST	CLOSED	Officers while on patrol observed three individuals wandering around the bike rack. Officers report individuals left the area.	River Team
2016-0012943	10/1/2016  4:57:21 AM	10/1/2016  4:57:00AM	SUSPICIOUS ACTIVITY	DUNSTER HOUSE 945 MEMORIAL DR	CLOSED	Officers dispatched to a report of an unknown individual trying to get into their room. Officers arrived and report individual was a guest of one of the occupants of the room and was allowed to be in the room.	Yard Team
2016-0012948	10/1/2016  11:30:52 AM	10/1/2016 11:30:00AM	SUSPICIOUS ACTIVITY	LEVERETT HOUSE DINING HALL 8 MILL ST	CLOSED	Officers dispatched to a report of three possibly intoxicated individuals in the area. Officers arrived and report individuals gone on arrival.	River Team
2016-0012950	10/1/2016  11:53:00 AM	10/1/2016 11:53:00AM To 12:15:00PM	SUSPICIOUS ACTIVITY	MCZ MUSEUM COMPARATIVE ZOOLOGY 24 OXFORD ST	CLOSED	Officer dispatched to take a report of suspicious activity.	North Yard Team
2016-0012968	10/1/2016  11:42:04 PM	10/1/2016 11:42:00PM	SUSPICIOUS ACTIVITY	WIGGLESWORTH HALL J 6 HARVARD YARD	CLOSED	Officers dispatched to a report of an individual who had piggybacked into the building. Officers arrived and report individual gone on arrival.	Yard Team
2016-0012979	10/2/2016  12:53:00 AM	10/2/2016 12:50:00AM To  2:30:00AM	SUSPICIOUS ACTIVITY	 20 MELLEN ST	CLOSED	Officer dispatched to take a report of past suspicious activity.	North Yard Team
2016-0012991	10/2/2016  10:26:02 AM	10/2/2016 10:26:00AM	SUSPICIOUS ACTIVITY	LEVERETT HOUSE A 8 MILL ST	CLOSED	"Officers dispatched to a report of two individuals in the basement area of the building. Officers arrived, located both individuals and report they were alumni. Officers then sent them on their way."	River Team
2016-0013011	10/2/2016  11:06:34 PM	10/2/2016 11:06:00PM	SUSPICIOUS ACTIVITY	CABOT HOUSE L 60 LINNAEAN ST	CLOSED	Officers dispatched to a report of individuals on the roof of the building. Officers arrived and report individuals gone on arrival.	Radcliffe/Quad Team
2016-0013025	10/3/2016  7:45:38 AM	10/3/2016  7:45:00AM	SUSPICIOUS ACTIVITY	 KIRKLAND ST / QUINCY ST	CLOSED	Officers while on patrol observed an individual flying two drones. Officers report individual was just taking pictures of the skyline.	North Yard Team
2016-0013032	10/3/2016  10:02:00 AM	9/30/2016 To 10/3/201611:00:00PM To  5:00:00AM	SUSPICIOUS ACTIVITY	PEABODY TERRACE 09 900 MEMORIAL DR	CLOSED	Officer dispatched to take a report of past suspicious activity.	River Team
2016-0013046	10/3/2016  3:59:55 PM	10/3/2016  3:59:00PM	SUSPICIOUS ACTIVITY	PERKINS HALL 35 OXFORD ST	CLOSED	Officers dispatched to a report of an individual wandering around the lobby area who doesn't seem to have authorization to be there. Officers arrived and report individual gone on arrival.	North Yard Team
2016-0013047	10/3/2016  4:18:00 PM	10/1/2016  6:27:00PM	SUSPICIOUS ACTIVITY	THAYER HALL EAST 21 HARVARD YARD	CLOSED	Officer dispatched to take a report of a suspicious email numerous groups received.	Yard Team
2016-0013063	10/4/2016  3:27:20 AM	10/4/2016  3:27:00AM	SUSPICIOUS ACTIVITY	PEABODY TERRACE 13 900 MEMORIAL DR	CLOSED	Officers dispatched to a report of an individual possibly sleeping in the mailroom. Officers arrived and report individual gone on arrival.	River Team
2016-0013083	10/4/2016  2:21:00 PM	10/4/2016 11:16:00AM To 12:16:00PM	SUSPICIOUS ACTIVITY	ROBINSON HALL 35 QUINCY ST	CLOSED	Officer dispatched to take a report of a suspicious email numerous individuals received.	Yard Team
2016-0013097	10/5/2016  12:07:43 AM	10/5/2016 12:07:00AM	SUSPICIOUS ACTIVITY	WARREN ALPERT BUILDING 200 LONGWOOD AVE	CLOSED	Officers dispatched to a report of a cut bicycle lock. Officers arrived and report bicycle is secured in the cage area and lock seems to have been cut a while ago	Longwood Team
2016-0013114	10/5/2016  10:02:16 AM	10/5/2016 10:02:00AM	SUSPICIOUS ACTIVITY	 635 HUNTINGTON AVE	CLOSED	"Officers dispatched to a report of an individual lying on the ground. Officers arrived, located individual and report individual stated they were just taking a nap. The individual was then sent on their way."	
2016-0013178	10/6/2016  4:47:00 PM	10/6/2016  4:22:00PM	SUSPICIOUS ACTIVITY	EMERSON HALL 26 HARVARD YARD	CLOSED	Officer dispatched to take a report of a suspicious email an individual received.	Yard Team
2016-0013211	10/7/2016  11:32:50 AM	10/7/2016 11:32:00AM	SUSPICIOUS ACTIVITY	 5 SACRAMENTO ST	CLOSED	Officers dispatched to a report of a motor vehicle in the lot that may be stolen. Officer arrived and report car is not stolen and belong to an individual who lives in the building.	North Yard Team
2016-0013235	10/7/2016  11:31:17 PM	10/7/2016 11:31:00PM	SUSPICIOUS ACTIVITY	MAXWELL DWORKIN BUILDING 33 OXFORD ST	CLOSED	Officers dispatched to a report of a possible domestic disturbance. Officers arrived and report individuals gone on arrival.	North Yard Team
2016-0013248	10/8/2016  2:32:39 AM	10/8/2016  2:32:00AM	SUSPICIOUS ACTIVITY	MORRIS HALL 14 HARVARD WAY	CLOSED	Officer dispatched to a report of noises near an individual's window. Officers arrived and report it was just two students talking in the area.	Allston/Watertown Team
2016-0013259	10/8/2016  9:22:00 AM	10/8/2016  5:00:00AM	SUSPICIOUS ACTIVITY	WIGGLESWORTH HALL B 6 HARVARD YARD	CLOSED	Officer dispatched to take a report of suspicious activity.	Yard Team
2016-0013272	10/8/2016  3:59:00 PM	10/8/2016  3:40:00PM To  3:45:00PM	SUSPICIOUS ACTIVITY	LAMONT LIBRARY 11 QUINCY ST	CLOSED	Officer dispatched to take a report of suspicious activity.	Yard Team
2016-0013274	10/8/2016  7:05:11 PM	10/8/2016  7:05:00PM	SUSPICIOUS ACTIVITY	CLAVERLY HALL 63 MT AUBURN ST	CLOSED	"Officers dispatched to a report of an individual in the area who may not have authorization to be there. Officers arrived, located individual and report individual was leaving on their own and just wanted a quiet place to pray."	River Team
2016-0013284	10/8/2016  10:54:18 PM	10/8/2016 10:54:00PM	SUSPICIOUS ACTIVITY	WIGGLESWORTH HALL G 6 HARVARD YARD	CLOSED	Officers dispatched to a report of two individuals trying to gain access into the building. Officers arrived and report individuals gone on arrival.	Yard Team
2016-0013286	10/8/2016  11:31:59 PM	10/8/2016 11:31:00PM	SUSPICIOUS ACTIVITY	SFP SOLDIERS FIELD PARK 02 111 WESTERN AVE	CLOSED	Officer dispatched to a report of two cameras that were covered with some sort of plastic/mesh material. Officer arrived and report accidently covered by Halloween decorations.	Allston/Watertown Team
2016-0013321	10/9/2016  11:11:32 PM	10/9/2016 11:11:00PM	SUSPICIOUS ACTIVITY	 MASS AVE / LINDEN ST	CLOSED	Officer dispatched to a report of two individuals possibly being followed by four individuals in a motor vehicle. Officer arrived and report motor vehicle gone on arrival.	
2016-0013346	10/10/2016  11:27:00 AM	9/11/2016 To 10/10/201611:00:00PM To  7:00:00AM	SUSPICIOUS ACTIVITY	LYMAN LAB 11 OXFORD ST	CLOSED	Officer dispatched to take a report of suspicious activity.	North Yard Team
2016-0013349	10/10/2016  12:56:55 PM	10/10/2016 12:56:00PM	SUSPICIOUS ACTIVITY	KIRKLAND HOUSE E 95 DUNSTER ST	CLOSED	Officer dispatched to a report of an individual who was seen jumping into the Kirkland Annex gate. Officer arrived and report individual gone on arrival.	River Team
2016-0013356	10/10/2016  6:35:00 PM	10/10/2016  6:35:00PM	SUSPICIOUS ACTIVITY	ADAMS HOUSE H 45-57 BOW ST	CLOSED	Officer dispatched to a report of the smell of marijuana coming from a room. Officer arrived and met with a university official and proceeded to the room where the odor was coming from. The officer and the university official were able to make contact with the occupant of the room and report a very faint odor or marijuana coming from such room. The individual was reminded of the university policy and was then sent on their way. This issued is being handled administratively.	River Team
2016-0013358	10/10/2016  7:41:36 PM	10/10/2016  7:41:00PM	SUSPICIOUS ACTIVITY	BUSINESS SCHOOL LOT 112 WESTERN AVE	CLOSED	Officer dispatched to a report of an individual who had piggybacked into the building. Officer arrived and report individual gone on arrival.	Allston/Watertown Team
2016-0013377	10/11/2016  11:08:07 AM	10/11/2016 11:08:00AM	SUSPICIOUS ACTIVITY	PENNYPACKER HALL EAST 387 HARVARD ST	CLOSED	Officer dispatched to a report of an individual in the area who may not have authorization to be in the area. Officer arrived and report individual gone on arrival.	Yard Team
2016-0013386	10/11/2016  5:02:54 PM	10/11/2016  5:02:00PM	SUSPICIOUS ACTIVITY	MOWER HALL A 16 HARVARD YARD	CLOSED	Officers dispatched to a report of two individuals smoking marijuana in the basement. Officers arrived and report individuals gone on arrival and no odor of marijuana.	Yard Team
2016-0013388	10/11/2016  8:12:49 PM	10/11/2016  8:12:00PM	SUSPICIOUS ACTIVITY	WIGGLESWORTH HALL A 6 HARVARD YARD	CLOSED	Officers dispatched to a report of an individual climbing into a room. Officers arrived and report it was misunderstanding and the individual was invited into the room by the occupant.	Yard Team
2016-0013463	10/12/2016  5:50:34 PM	10/12/2016  5:50:00PM	SUSPICIOUS ACTIVITY	MATHER HOUSE A 93 BANKS ST	CLOSED	"Officer dispatched to a report of an individual sleeping on a bench. Officer arrived, located individual and sent them on their way."	River Team
2016-0013493	10/13/2016  8:00:52 PM	10/13/2016  8:00:00PM	SUSPICIOUS ACTIVITY	SCIENCE CENTER PLAZA 1 OXFORD ST	CLOSED	Officers dispatched to a report of an individual in the area pacing around in circles. Officers arrived and report individual gone on arrival.	North Yard Team
2016-0013497	10/13/2016  10:13:56 PM	10/13/2016 10:13:00PM	SUSPICIOUS ACTIVITY	LOWELL LECTURE HALL 17 KIRKLAND ST	CLOSED	Officers dispatched to a report of an individual in the building who may not have authorization to be there. Officers arrived and report individual gone on arrival.	North Yard Team
2016-0013498	10/13/2016  10:15:00 PM	10/13/2016  9:45:00PM To 10:15:00PM	SUSPICIOUS ACTIVITY	THAYER HALL NORTH 21 HARVARD YARD	CLOSED	Officer dispatched to take a report of past suspicious activity.	Yard Team
2016-0013501	10/14/2016  12:01:29 AM	10/14/2016 12:01:00AM	SUSPICIOUS ACTIVITY	LAMONT LIBRARY 11 QUINCY ST	CLOSED	Officers dispatched to a report of a group of individuals with instruments headed towards the library to perform a concert. Officers arrived and report group was allowed to be in the area as they were scheduled to play a concert.	Yard Team
2016-0013554	10/14/2016  9:49:00 PM	10/14/2016 To 10/15/2016 9:30:00PM To 12:45:00AM	SUSPICIOUS ACTIVITY	SOC HILLES 59 SHEPARD ST	CLOSED	Officer dispatched to take a report of suspicious activity.	Radcliffe/Quad Team
2016-0013568	10/15/2016  11:10:26 AM	10/15/2016 11:10:00AM	SUSPICIOUS ACTIVITY	HARVARD YARD 1 PEABODY ST	CLOSED	Officers dispatched to a report of an individual urinating on the side of the building. Officers arrived and report individual gone on arrival.	Yard Team
2016-0013576	10/15/2016  11:27:00 PM	10/15/2016 12:00:00PM To 11:17:00PM	SUSPICIOUS ACTIVITY	STORY HALL 12 EVERETT ST	CLOSED	Officer dispatched to take a report suspicious activity.	North Yard Team
2016-0013607	10/16/2016  9:08:07 PM	10/16/2016  9:08:00PM	SUSPICIOUS ACTIVITY	 FRANCIS AVE / BRYANT ST	CLOSED	"Officers dispatched to a report of young teens wandering around the area and one of them climbing a light pole. Officers arrived, located individuals and sent them on their way."	North Yard Team
2016-0013636	10/17/2016  9:13:00 PM	10/17/2016  7:30:00PM To  7:35:00PM	SUSPICIOUS ACTIVITY	CANADAY HALL D 22 HARVARD YARD	CLOSED	Officer dispatched to take a report of suspicious activity.	Yard Team
2016-0013657	10/18/2016  1:14:00 PM	10/17/2016  4:30:00PM	SUSPICIOUS ACTIVITY	WASSERSTEIN HALL 1585 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of suspicious activity.	North Yard Team
2016-0013659	10/18/2016  2:29:55 PM	10/18/2016  2:29:00PM	SUSPICIOUS ACTIVITY	INSTITUTE OF MEDICINE 4 BLACKFAN CIR	CLOSED	Officer dispatched to a report of two individuals in the area with bolt cutters. Officer arrived and report individuals gone on arrival.	Longwood Team
2016-0013722	10/20/2016  12:11:59 PM	10/20/2016 12:11:00PM	SUSPICIOUS ACTIVITY	GREENOUGH HALL NORTH 10 PRESCOTT ST	CLOSED	Officer dispatched to a report of an individual on the roof and moving down the fire escape. Officer arrived and report individual gone on arrival.	Yard Team
2016-0013734	10/20/2016  8:50:49 PM	10/20/2016  8:50:00PM	SUSPICIOUS ACTIVITY	CONTINUING EDUCATION COMPUTER 53 CHURCH ST	CLOSED	Officers dispatched to a report of an individual in the area destroying plants. Officers arrived and report individual gone on arrival and no plants vandalized.	Radcliffe/Quad Team
2016-0013735	10/20/2016  10:10:41 PM	10/20/2016 10:10:00PM	SUSPICIOUS ACTIVITY	SCIENCE CENTER 1 OXFORD ST	CLOSED	"Officers dispatched to a report of an individual sleeping in the building. Officers arrived, located individual and report individual was affiliated and was allowed to stay in the area."	North Yard Team
2016-0013797	10/22/2016  11:50:11 AM	10/22/2016 11:50:00AM	SUSPICIOUS ACTIVITY	 29 GARDEN ST	CLOSED	Officer dispatched to a report of an individual possibly cutting a lock off a bicycle. Officer arrived and report individual gone on arrival.	Radcliffe/Quad Team
2016-0013820	10/23/2016  12:47:00 AM	10/23/2016 12:49:00AM To  1:00:00AM	SUSPICIOUS ACTIVITY	CRUFT LAB 19 OXFORD ST	CLOSED	Officer dispatched to take a report of suspicious activity.	North Yard Team
